exercise,minBMI,maxBMI,minage,maxage,Level,equipment,mainpart,time
Bridge Pose,27.5,36,12,60,Intermediate,,Legs,50
Bulgarian Squat,16,25,18,55,Advance,Dumbbell,Legs,45
Chest Flyes,18.5,27,12,60,Beginner,Dumbbell,Chest,50
Corkscrew,18.5,27,12,60,Beginner,,Abs,45
Deadlift,25,34.9,12,60,Intermediate,Dumbbell,Abs,55
Decline Push-ups,30,40,18,55,Advance,,Chest,40
Donkey Kick,27.5,36,12,60,Beginner,,Legs,55
Dumbbell Squat,18.5,27,12,60,Intermediate,Dumbbell,Legs,50
Easy Side Plank,16,25,12,60,Beginner,,Chest,40
Elevated Crunches,16,25,18,55,Advance,,Abs,45
Front Shoulder Raise,22,30,18,55,Advance,Dumbbell,Chest,45
High Plank,27.5,36,12,60,Beginner,,Legs,50
Hundred Pike,25,34.9,18,55,Advance,,Abs,50
Jump Planks,30,40,18,55,Advance,,Legs,40
Moutain Walkers,16,25,12,60,Beginner,,Abs,45
Neutral Grip Front Raise,22,30,12,60,Intermediate,Dumbbell,Chest,50
Oblique Rotations,30,40,12,60,Intermediate,,Chest,45
One Arm Deadlift,18.5,27,12,60,Intermediate,Dumbbell,Chest,45
Plank,30,40,12,60,Intermediate,,Abs,55
Plank-Ins,30,40,18,55,Advance,,Chest,45
Pullover,22,30,12,60,Intermediate,Dumbbell,Chest,55
Push-up,18.5,27,12,60,Intermediate,,Chest,50
Reverse Plank,18.5,27,12,60,Beginner,,Abs,50
Russian Twist,25,34.9,12,60,Intermediate,Dumbbell,Abs,45
Seated Calf Raises,16,25,12,60,Beginner,Dumbbell,Legs,40
Split Squats,18.5,27,12,60,Intermediate,Dumbbell,Legs,55
Tricep Kickback,25,34.9,12,60,Beginner,Dumbbell,Chest,40
Weighted Crunches,25,34.9,12,60,Intermediate,Dumbbell,Abs,50
Weighted Leg Lifts,25,34.9,18,55,Advance,Dumbbell,Abs,55
